Standard Date,EURUSD
01/01/2020,1.12186
02/01/2020,1.11703
03/01/2020,1.1153
06/01/2020,1.11951
07/01/2020,1.11535
08/01/2020,1.11123
09/01/2020,1.1109
10/01/2020,1.1119
13/01/2020,1.1135
14/01/2020,1.11277
15/01/2020,1.1151
16/01/2020,1.1137
17/01/2020,1.1089
20/01/2020,1.1096
21/01/2020,1.1083
22/01/2020,1.10955
23/01/2020,1.10545
24/01/2020,1.1026
27/01/2020,1.1018
28/01/2020,1.10218
29/01/2020,1.1013
30/01/2020,1.1029
31/01/2020,1.10949
03/02/2020,1.10623
04/02/2020,1.10447
05/02/2020,1.1
06/02/2020,1.09807
07/02/2020,1.0942
10/02/2020,1.09102
11/02/2020,1.0918
12/02/2020,1.08749
13/02/2020,1.08409
14/02/2020,1.08301
17/02/2020,1.0836
18/02/2020,1.0795
19/02/2020,1.081
20/02/2020,1.07875
21/02/2020,1.08453
24/02/2020,1.08488
25/02/2020,1.08786
26/02/2020,1.08848
27/02/2020,1.09967
28/02/2020,1.1027
02/03/2020,1.11412
03/03/2020,1.11764
04/03/2020,1.11383
05/03/2020,1.12232
06/03/2020,1.129
09/03/2020,1.13972
10/03/2020,1.1317
11/03/2020,1.12606
12/03/2020,1.11832
13/03/2020,1.1142
16/03/2020,1.11605
17/03/2020,1.10145
18/03/2020,1.09602
19/03/2020,1.06547
20/03/2020,1.0761
23/03/2020,1.07636
24/03/2020,1.08018
25/03/2020,1.08887
26/03/2020,1.10473
27/03/2020,1.1166
30/03/2020,1.10294
31/03/2020,1.10257
01/04/2020,1.09528
02/04/2020,1.08462
03/04/2020,1.0799
06/04/2020,1.08008
07/04/2020,1.08945
08/04/2020,1.0859
09/04/2020,1.09252
10/04/2020,1.0935
13/04/2020,1.0919
14/04/2020,1.09847
15/04/2020,1.09031
16/04/2020,1.0858
17/04/2020,1.08711
20/04/2020,1.0864
21/04/2020,1.08551
22/04/2020,1.0805
23/04/2020,1.0774
24/04/2020,1.08248
27/04/2020,1.0822
28/04/2020,1.08328
29/04/2020,1.08764
30/04/2020,1.09448
01/05/2020,1.1092
04/05/2020,1.09031
05/05/2020,1.08382
06/05/2020,1.07971
07/05/2020,1.08367
08/05/2020,1.0968
11/05/2020,1.0809
12/05/2020,1.08462
13/05/2020,1.08216
14/05/2020,1.08067
15/05/2020,1.08106
18/05/2020,1.09146
19/05/2020,1.09263
20/05/2020,1.0979
21/05/2020,1.095
22/05/2020,1.0896
25/05/2020,1.0901
26/05/2020,1.0979
27/05/2020,1.10164
28/05/2020,1.10788
29/05/2020,1.11011
01/06/2020,1.11255
02/06/2020,1.11861
03/06/2020,1.12342
04/06/2020,1.13364
05/06/2020,1.12788
08/06/2020,1.13049
09/06/2020,1.13319
10/06/2020,1.13653
11/06/2020,1.12878
12/06/2020,1.1257
15/06/2020,1.1335
16/06/2020,1.1265
17/06/2020,1.12424
18/06/2020,1.12067
19/06/2020,1.11772
22/06/2020,1.12794
23/06/2020,1.13117
24/06/2020,1.12505
25/06/2020,1.1218
26/06/2020,1.12191
29/06/2020,1.12467
30/06/2020,1.12335
01/07/2020,1.12507
02/07/2020,1.12371
03/07/2020,1.1243
06/07/2020,1.1311
07/07/2020,1.12748
08/07/2020,1.13371
09/07/2020,1.12874
10/07/2020,1.12888
13/07/2020,1.13453
14/07/2020,1.14101
15/07/2020,1.1416
16/07/2020,1.13879
17/07/2020,1.14246
20/07/2020,1.14566
21/07/2020,1.15336
22/07/2020,1.15647
23/07/2020,1.15954
24/07/2020,1.16559
27/07/2020,1.17689
28/07/2020,1.1717
29/07/2020,1.17821
30/07/2020,1.1872
31/07/2020,1.17719
03/08/2020,1.1761
04/08/2020,1.18144
05/08/2020,1.18725
06/08/2020,1.18743
07/08/2020,1.17865
10/08/2020,1.17374
11/08/2020,1.17358
12/08/2020,1.17937
13/08/2020,1.18162
14/08/2020,1.18408
17/08/2020,1.18747
18/08/2020,1.19475
19/08/2020,1.1842
20/08/2020,1.18698
21/08/2020,1.17888
24/08/2020,1.1794
25/08/2020,1.18343
26/08/2020,1.18386
27/08/2020,1.1818
28/08/2020,1.18924
31/08/2020,1.1937
01/09/2020,1.19225
02/09/2020,1.18461
03/09/2020,1.18394
04/09/2020,1.18337
07/09/2020,1.18191
08/09/2020,1.1767
09/09/2020,1.18037
10/09/2020,1.18237
11/09/2020,1.18369
14/09/2020,1.18677
15/09/2020,1.18437
16/09/2020,1.18031
17/09/2020,1.1848
18/09/2020,1.18381
21/09/2020,1.1764
